a1 Aj
a2 tsA
a3 mA
a4 lAu
a5 ?
aa An
ai1 khai
ai2 lai
ai3 pai
ai4 tai
ai5 nai
an1 tshA
an2 lA
an3 kA
an4 khA
ang1 ts.A
ang2 ts.hA
ang3 tS;hiou
ang4 s.A
ang5 tsAu
ao1 kAu
ao2 thAu
ao3 pAu
ao4 tAu
ao5 phu
b pA
c tshai
ch ts.hu
d tA
e1 E:o-
e2 ko-
e3 o-s
e4 s.o-
e5 tuei
ee @rs
ei1 fei
ei2 phei
ei3 mei
ei4 pei
en1 fo-
en2 mo-
en3 po-
en4 tshu
en5 thA
eng1 tso-
eng2 ts.ho-
eng3 l@
eng4 ts.o-
eng5 ?
er2 @r@r51
er3 xai
er4 ?
er5 ?
f fA
g kong
h xo-
i1 ti
i2 S;yE
i3 E:ong
i4 t@
i5 luo
ia1 tS;iA
ia2 thiA
ia3 ?
ia4 ku
ian1 tS;hiA
ian2 jiA
ian3 tiA
ian4 S;iA
ian5 ?
iang1 S;g
iang2 ye:
iang3 liA
iang4 tS;g
iang5 phj
iao1 tS;j
iao2 mj
iao3 S;j
iao4 jAu
ie1 tiE
ie2 tS;iE
ie3 thiE
ie4 jiE
ie5 ?
ii ji
in1 z.u
in2 Aus
in3 pu
in4 tj
ing1 I;
ing2 ni
ing3 S;iE
ing4 pi
ing5 ?
iong1 ?
iong2 ?
iong3 ?
iong4 jong
iu1 S;iou
iu2 jiou
iu3 tS;iou
iu4 liou
ix1 tshuo
ix2 ts.hi.
ix3 n@-
ix4 thuei
ix5 ?
iy1 tsi[
iy2 ?
iy3 tshi[
iy4 si[
iy5 mg
iz4 z.i.
j tS;i
k kho-
l li
m mi
n nA
o1 po
o2 mo
o4 pho
ong1 ts.ong
ong2 thong
ong3 tsong
ong4 tong
ong5 ?
oo ouj
ou1 ts.ou
ou2 thou
ou3 s.ou
ou4 xou
ou5 ?
p phi
q tS;hi
r z.o-
s sA
sh s.i.
t thi
u1 s.u
u2 tu
u3 ts.u
u4 fu
u5 ts.Au
ua1 OYw
ua2 xw
ua3 ?
ua4 khw
uai1 s.uai
uai2 xuai
uai3 kuai
uai4 wai
uan1 kw
uan2 wA
uan3 ts.w
uan4 tw
uang1 s.w
uang2 nj
uang3 we:
uang4 ts.hw
ui1 kuei
ui2 wei
ui3 lou
ui4 xuei
un1 xu
un2 wu@
un3 su
un4 khu
uo1 tuo
uo2 kuo
uo3 xuo
uo4 tsuo
uu wu
v1 nei
v2 piA
v3 ny
v4 tS;y
van1 xA
van2 tS;hy
van3 thj
van4 yA
ve1 tS;hyE
ve2 tS;yE
ve3 ?
ve4 yEs
vn1 niA
vn2 S;y
vn4 th@
vv ;y
x S;i
z tsai
zh ts.i.
